title,brand,primary_category,primary_subcategory,media_type,form_factor,capacity_display,capacity_gb,interfaces,connectors,read_mbps,write_mbps,rpm,bays,raid_levels,rugged,ip_rating,drop_m,encryption,bus_powered,warranty_years,workflows,price_usd,completeness,needs_review,url
Transcend JetFlash 700 USB 3.0 Flash Drive - 64GB - Black,Transcend,Uncategorized,Needs Review,unknown,portable,64 GB,64,USB 3.0,,,,,,,False,,,,,,,32.95,0.61,True,https://www.filmtools.com/64gb-jetflash-jf700-tr-ts64gjf700.html
Delkin 32GB PocketFlash USB 3.0 Flash Drive,Delkin,Uncategorized,Needs Review,unknown,portable,32 GB,32,USB 3.0; USB 2.0,,,,,,,False,,,,,,,11.99,0.61,True,https://www.filmtools.com/delkin-32gb-pocketflash-usb-3-0-flash-drive.html
SanDisk 64GB Ultra Flair USB 3.0 Flash Drive,Sandisk,Uncategorized,Needs Review,unknown,,64 GB,64,USB 3.0; USB 2.0,USB-A,150,,,,,False,,,128-bit AES,,,,26.15,0.44,True,https://www.filmtools.com/sandisk-64gb-ultra-flair-usb-3-0-flash-drive.html
MLogic mTape LTO-8 Thunderbolt 3 Archiving Drive with YoYottaID LTFS for Mac,mLogic,Archive & Backup,LTO Tape,tape,deck_or_cartridge,12 TB,12000,Thunderbolt 3,USB-C,300,,,,,False,,,,,3,Archive Forever,5599.0,0.85,False,https://www.filmtools.com/mlogic-mtape-lto-8-thunderbolt-3-archiving-drive-with-yoyottaid-ltfs-for-mac.html
Quantum LTO Data Cartridge (Various),Quantum,Archive & Backup,LTO Tape,tape,deck_or_cartridge,,,,,,,,,,False,,,,,,Archive Forever,27.99,0.43,True,https://www.filmtools.com/quantum-lto-data-catridge.html
HPE LTO Data Cartridge (Various),HPe,Archive & Backup,LTO Tape,tape,deck_or_cartridge,,,,,,,,,,False,,,,,,Archive Forever,103.53,0.43,True,https://www.filmtools.com/hpe-lto-various.html
HP LTO 7 Tapes Pre-Labeled Non-Custom Data Cartridge (20 Pack),HP,Archive & Backup,LTO Tape,tape,deck_or_cartridge,6 TB,6000,,,,,,,,False,,,,,,Archive Forever,5299.0,0.64,False,https://www.filmtools.com/hpe-lto-7-tapes-pre-labeled-non-custom-data-cartridge-20-pack-c7977an.html
Fujifilm LTO 8 Ultrium Barium Ferrite Data Cartridge,Fujifilm,Archive & Backup,LTO Tape,tape,deck_or_cartridge,30 TB,30000,,,,,,,,False,,,,,,Archive Forever,70.90588,0.58,False,https://www.filmtools.com/fuji-lto-8-ultrium-barium-ferrite-data-cartridge-16551221.html
MLogic mTape Thunderbolt 3 LTO-8 with Retrospect Desktop for macOS,mLogic,Archive & Backup,LTO Tape,tape,deck_or_cartridge,,,Thunderbolt 3,,,,,,,False,,,,,,Archive Forever,5379.0,0.64,False,https://www.filmtools.com/mlogic-mtape-thunderbolt-3-lto-8-with-retrospect-desktop-for-macos.html
MLogic mTape Thunderbolt 3 LTO-8 with Xendata 6 for Windows,mLogic,Archive & Backup,LTO Tape,tape,deck_or_cartridge,12 TB,12000,Thunderbolt 3,,300,,,,,False,,,,,,Archive Forever,5499.0,0.79,False,https://www.filmtools.com/mlogic-mtape-thunderbolt-3-lto-8-with-xendata-6-for-windows.html
"Fujifilm 45TB LTO 9 Data Cartridge, of storage capacity (18TB for non-compressed data)",Fujifilm,Archive & Backup,LTO Tape,tape,deck_or_cartridge,18 TB,18000,,,,,,,,False,,,,,,Archive Forever,101.51765,0.66,False,https://www.filmtools.com/fuji-lto-9-data-cartridge-45tb-of-storage-capacity-18tb-for-non-compressed-data.html
"Quantum 45TB LTO 9 Data Cartridge, of storage capacity (18TB for non-compressed data)",Quantum,Archive & Backup,LTO Tape,tape,deck_or_cartridge,18 TB,18000,,,1000,,,,,False,,,,,,Archive Forever,100.8,0.66,False,https://www.filmtools.com/quantum-lto-9-data-cartridge-45tb-of-storage-capacity-18tb-for-non-compressed-data.html
SymplyLTO 2RU SAS 1 x Full Height LTO-9,Symply,Archive & Backup,LTO Tape,tape,deck_or_cartridge,18 TB,18000,,,,,,,,False,,,,,,Archive Forever,8399.0,0.58,False,https://www.filmtools.com/symplylto-2ru-sas-1-x-full-height-lto-9.html
Fujifilm 200GB LTO 2 Ultrium Barium Ferrite Data Cartridge,Fujifilm,Archive & Backup,LTO Tape,tape,deck_or_cartridge,200 GB,200,,,,,,,,False,,,,,,Archive Forever,32.95,0.66,False,https://www.filmtools.com/fujifilm-fuji-lto-2-600003229.html
Fujifilm LTO Ultrium Data Cartridge (Various),Fujifilm,Archive & Backup,LTO Tape,tape,deck_or_cartridge,,,,,,,,,,False,,,,,,Archive Forever,24.8,0.43,True,https://www.filmtools.com/fujifilm-lto.html
Fujifilm 800GB LTO 4 Ultrium Barium Ferrite Data Cartridge,Fujifilm,Archive & Backup,LTO Tape,tape,deck_or_cartridge,800 GB,800,,,,,,,,False,,,,,,Archive Forever,24.8,0.66,False,https://www.filmtools.com/fujifilm-fuji-lto-4-15716800.html
Fujifilm 1.5TB LTO 5 Ultrium Barium Ferrite Data Cartridge,Fujifilm,Archive & Backup,LTO Tape,tape,deck_or_cartridge,1.5 TB,1500,,,,,,,,False,,,,,,Archive Forever,34.6375,0.66,False,https://www.filmtools.com/fujifilm-fuji-lto-5-16008030.html
Fujifilm 2.5TB LTO 6 Ultrium Barium Ferrite Data Cartridge,Fujifilm,Archive & Backup,LTO Tape,tape,deck_or_cartridge,2.5 TB,2500,,,,,,,,False,,,,,,Archive Forever,54.05,0.66,False,https://www.filmtools.com/fujifilm-lto-ultrium-6-16310732-tape-barium-ferrite.html
HP 1.5TB LTO 5 Ultrium Barium Ferrite Data Cartridge,HPe,Archive & Backup,LTO Tape,tape,deck_or_cartridge,1.5 TB,1500,,,280,,,,,False,,,,,,Archive Forever,35.55,0.66,False,https://www.filmtools.com/hpe-lto-ultrium-5-1-5tb-3tb.html
HP 2.5TB LTO 6 Ultrium Barium Ferrite Data Cartridge,HPe,Archive & Backup,LTO Tape,tape,deck_or_cartridge,2.5 TB,2500,,,,,,,,False,,,,,,Archive Forever,46.425,0.66,False,https://www.filmtools.com/hpe-lto-6-ultrium-c7976a.html
IBM 50 Cycles LTO Cleaning Cartridge,IBM,Archive & Backup,LTO Tape,tape,deck_or_cartridge,,,,,,,,,,False,,,,,,Archive Forever,99.95,0.43,True,https://www.filmtools.com/ibm-lto-cleaning-cartridge-35l2086.html
IBM 1.5TB LTO 5 Ultrium Barium Ferrite Data Cartridge,IBM,Archive & Backup,LTO Tape,tape,deck_or_cartridge,1.5 TB,1500,,,,,,,,False,,,,,,Archive Forever,33.9625,0.66,False,https://www.filmtools.com/ibm-lto-ultrium-5-35l2086.html
Quantum 800GB LTO 4 Ultrium Barium Ferrite Data Cartridge,Quantum,Archive & Backup,LTO Tape,tape,deck_or_cartridge,800 GB,800,,,,,,,,False,,,,,,Archive Forever,27.99,0.66,False,https://www.filmtools.com/quantum-lto-4-ultrium-mr-l4mqn-01.html
Quantum 1.5TB LTO 5 Ultrium Barium Ferrite Data Cartridge,Quantum,Archive & Backup,LTO Tape,tape,deck_or_cartridge,1.5 TB,1500,,,,,,,,False,,,,,,Archive Forever,36.9625,0.66,False,https://www.filmtools.com/quantum-lto-5-ultrium-mr-l5mqn-01.html
Quantum 2.5TB LTO 6 Ultrium Barium Ferrite Data Cartridge,Quantum,Archive & Backup,LTO Tape,tape,deck_or_cartridge,2.5 TB,2500,,,,,,,,False,,,,,,Archive Forever,34.1875,0.66,False,https://www.filmtools.com/quantum-lto-6-ultrium-mr-l6mqn-01.html
Tandberg LTO Data Cartridge (Various),Tandberg Data,Archive & Backup,LTO Tape,tape,deck_or_cartridge,,,,,,,,,,False,,,,,,Archive Forever,50.0,0.43,True,https://www.filmtools.com/tandberg-lto.html
Tandberg LTO 6 Ultrium Barium Ferrite Data Cartridge,Tandberg Data,Archive & Backup,LTO Tape,tape,deck_or_cartridge,6.25 TB,6250,,,,,,,,False,,,,,,Archive Forever,59.17,0.58,False,https://www.filmtools.com/tandberg-lto-6-2-5tb-434021.html
IBM 2.5TB LTO 6 Ultrium Barium Ferrite Data Cartridge,IBM,Archive & Backup,LTO Tape,tape,deck_or_cartridge,2.5 TB,2500,,,,,,,,False,,,,,,Archive Forever,49.5375,0.66,False,https://www.filmtools.com/ibm-lto-ultrium-6-00v7590.html
HP 50 Cycles LTO Cleaning Cartridge,HPe,Archive & Backup,LTO Tape,tape,deck_or_cartridge,,,,,,,,,,False,,,,,,Archive Forever,103.53,0.43,True,https://www.filmtools.com/hpe-lto-cleaning-tape-7978a.html
Tandberg LTO 5 Ultrium Barium Ferrite Data Cartridge,Tandberg Data,Archive & Backup,LTO Tape,tape,deck_or_cartridge,3 TB,3000,,,,,,,,False,,,,,,Archive Forever,50.0,0.58,False,https://www.filmtools.com/tandberg-433955.html
HP 15TB LTO 7 Ultrium Barium Ferrite Data Cartridge,HPe,Archive & Backup,LTO Tape,tape,deck_or_cartridge,15 TB,15000,,,300,,,,,False,,,,,,Archive Forever,64.14118,0.66,False,https://www.filmtools.com/hpe-lto-ultrium-7-6tb-15tb.html
MLogic mRack LTO-7,mLogic,Archive & Backup,LTO Tape,tape,deck_or_cartridge,2.5 TB,2500,Thunderbolt 2,,160,,,,,False,,,,,,Archive Forever,5999.0,0.79,False,https://www.filmtools.com/mlogic-mrack-lto-7-ml-mrack-lto7.html
MLogic mRack LTO-7 Dual,mLogic,Archive & Backup,LTO Tape,tape,deck_or_cartridge,2.5 TB,2500,Thunderbolt 2,,160,,,,,False,,,,,,Archive Forever,9699.0,0.79,False,https://www.filmtools.com/mlogic-mrack-lto-7-dual-ml-mrack-lto7-dual.html
MLogic mRack LTO-7 Dual w/ PreRoll Post,mLogic,Archive & Backup,LTO Tape,tape,deck_or_cartridge,2.5 TB,2500,Thunderbolt 3; Thunderbolt 2,,160,,,,,False,,,,,,Archive Forever,9399.0,0.79,False,https://www.filmtools.com/mlogic-mrack-lto-7-dual-w-pre-roll-post-ml-mrack-lto7-dual-prp.html
MLogic mRack LTO-7 Dual w/ YoYottaID,mLogic,Archive & Backup,LTO Tape,tape,deck_or_cartridge,2.5 TB,2500,Thunderbolt 2,,160,,,,,False,,,,,,Archive Forever,8799.0,0.79,False,https://www.filmtools.com/mlogic-mrack-lto-7-dual-w-yoyottaid-ml-mrack-lto7-dual-yy.html
